individualId,count,coverage,parent1,parent2
1,0,0.706716,0,0
2,0,0.645795,0,0
3,0,0.762052,0,0
4,0,0.711787,0,0
5,0,0.692348,0,0
6,0,0.562111,0,0
7,0,0.662874,0,0
8,0,0.653174,0,0
9,0,0.645407,0,0
10,0,0.634706,0,0
11,0,0.598380,0,0
12,0,0.610149,0,0
13,0,0.510438,0,0
14,0,0.594091,0,0
15,0,0.607165,0,0
16,0,0.560461,0,0
17,0,0.570840,0,0
18,0,0.502819,0,0
19,0,0.502870,0,0
20,0,0.448925,0,0
21,0,0.585331,0,0
22,0,0.546835,0,0
23,0,0.526433,0,0
24,0,0.526433,0,0
25,0,0.508339,0,0
26,0,0.538815,0,0
27,0,0.459091,0,0
28,0,0.467147,0,0
29,0,0.414999,0,0
30,0,0.459091,0,0
31,0,0.399804,0,0
32,0,0.426438,0,0
33,0,0.366049,0,0
34,0,0.337830,0,0
35,0,0.337830,0,0
36,0,0.321957,0,0
37,0,0.370000,0,0
38,0,0.322635,0,0
39,0,0.321957,0,0
40,0,0.321957,0,0
41,0,0.302658,0,0
42,0,0.286785,0,0
43,0,0.286785,0,0
44,0,0.246695,0,0
45,0,0.255717,0,0
46,0,0.231500,0,0
47,0,0.205535,0,0
48,0,0.147877,0,0
49,0,0.147877,0,0
50,0,0.147877,0,0
1,1,0.948106,1,4
2,1,0.948106,1,1
4,1,0.948106,0,0
5,1,0.948106,1,1
7,1,0.935761,2,2
10,1,0.929588,6,6
11,1,0.929588,5,5
14,1,0.929588,11,11
24,1,0.917242,15,15
30,1,0.904896,29,29
37,1,0.898724,35,35
42,1,0.898724,32,32
1,2,0.948106,4,11
2,2,0.948106,5,5
3,2,0.948106,24,1
4,2,0.948106,4,4
5,2,0.948106,2,2
8,2,0.948106,10,5
13,2,0.935761,7,7
17,2,0.929588,11,11
20,2,0.929588,14,14
37,2,0.904896,30,30
42,2,0.898724,37,37
45,2,0.898724,42,42
4,3,0.948106,0,0
5,3,0.948106,1,1
10,3,0.948106,3,3
12,3,0.948106,4,4
15,3,0.948106,5,37
18,3,0.948106,8,17
20,3,0.948106,2,45
23,3,0.935761,13,13
27,3,0.929588,20,20
43,3,0.904896,37,37
47,3,0.898724,42,42
1,4,0.960452,15,43
8,4,0.954279,10,10
10,4,0.948106,23,4
12,4,0.948106,18,5
14,4,0.948106,5,5
22,4,0.948106,27,12
25,4,0.948106,10,47
27,4,0.948106,20,5
30,4,0.948106,10,10
1,5,0.960452,25,10
2,5,0.960452,1,1
3,5,0.960452,0,0
9,5,0.954279,14,27
19,5,0.948106,10,10
20,5,0.948106,12,12
40,5,0.948106,30,30
45,5,0.948106,25,22
50,5,0.948106,30,8
2,6,0.960452,1,50
5,6,0.960452,20,2
7,6,0.960452,3,3
13,6,0.954279,40,9
28,6,0.948106,19,19
31,6,0.948106,20,2
46,6,0.948106,45,45
50,6,0.941933,1,50
2,7,0.960452,0,0
6,7,0.960452,7,50
10,7,0.960452,5,5
15,7,0.954279,31,13
16,7,0.954279,13,13
30,7,0.948106,2,28
44,7,0.948106,46,46
7,8,0.972798,6,2
14,8,0.972798,6,2
17,8,0.972798,6,6
18,8,0.972798,10,10
21,8,0.966625,15,15
22,8,0.966625,15,44
23,8,0.966625,16,16
30,8,0.966625,30,2
1,9,0.972798,30,18
10,9,0.972798,7,7
17,9,0.972798,21,17
19,9,0.972798,14,14
20,9,0.972798,18,18
25,9,0.972798,17,17
28,9,0.966625,22,22
33,9,0.966625,23,23
1,10,0.972798,1,1
4,10,0.972798,0,0
6,10,0.972798,20,10
24,10,0.972798,19,17
26,10,0.972798,25,25
36,10,0.966625,28,28
41,10,0.966625,33,33
1,11,0.978970,1,36
2,11,0.972798,41,4
3,11,0.972798,1,26
4,11,0.972798,1,1
14,11,0.972798,6,6
31,11,0.972798,24,24
1,12,0.978970,1,1
6,12,0.972798,2,2
8,12,0.972798,3,3
11,12,0.972798,4,31
12,12,0.972798,4,4
26,12,0.972798,14,14
1,13,0.978970,8,11
2,13,0.978970,1,1
18,13,0.972798,6,12
19,13,0.972798,8,8
24,13,0.972798,11,11
26,13,0.972798,6,12
36,13,0.972798,26,26
4,14,0.978970,1,1
5,14,0.978970,0,0
7,14,0.978970,18,2
9,14,0.978970,36,2
27,14,0.972798,19,19
31,14,0.972798,24,24
44,14,0.972798,36,26
7,15,0.978970,27,5
8,15,0.978970,7,9
11,15,0.978970,31,4
44,15,0.972798,44,44
1,16,0.978970,0,0
7,16,0.978970,7,7
9,16,0.978970,8,8
16,16,0.978970,11,11
47,16,0.972798,44,44
1,17,0.978970,1,1
13,17,0.978970,7,7
14,17,0.978970,9,9
18,17,0.978970,16,16
50,17,0.972798,47,47
1,18,0.972798,14,50
2,18,0.978970,0,0
7,18,0.978970,1,13
15,18,0.978970,1,13
21,18,0.978970,18,18
2,19,0.972798,1,1
3,19,0.972798,0,0
5,19,0.978970,2,2
11,19,0.978970,7,7
25,19,0.978970,15,15
35,19,0.978970,21,21
1,20,0.985143,11,5
2,20,0.978970,35,3
7,20,0.972798,25,2
51,20,0.966625,11,3
