individualId,count,coverage,parent1,parent2
1,0,0.596652,0,0
2,0,0.597485,0,0
3,0,0.640731,0,0
4,0,0.537175,0,0
5,0,0.545752,0,0
6,0,0.519668,0,0
7,0,0.509106,0,0
8,0,0.525940,0,0
9,0,0.445180,0,0
10,0,0.429192,0,0
11,0,0.442263,0,0
12,0,0.409389,0,0
13,0,0.452451,0,0
14,0,0.434405,0,0
15,0,0.459370,0,0
16,0,0.413581,0,0
17,0,0.331789,0,0
18,0,0.461335,0,0
19,0,0.433133,0,0
20,0,0.355934,0,0
21,0,0.365794,0,0
22,0,0.321528,0,0
23,0,0.360096,0,0
24,0,0.372351,0,0
25,0,0.336683,0,0
26,0,0.323939,0,0
27,0,0.312828,0,0
28,0,0.312828,0,0
29,0,0.322880,0,0
30,0,0.329769,0,0
31,0,0.322246,0,0
32,0,0.298761,0,0
33,0,0.298761,0,0
34,0,0.295601,0,0
35,0,0.307551,0,0
36,0,0.289903,0,0
37,0,0.278792,0,0
38,0,0.259678,0,0
39,0,0.291392,0,0
40,0,0.269301,0,0
41,0,0.276662,0,0
42,0,0.228139,0,0
43,0,0.228139,0,0
44,0,0.207996,0,0
45,0,0.268531,0,0
46,0,0.219043,0,0
47,0,0.185208,0,0
48,0,0.185208,0,0
49,0,0.132615,0,0
50,0,0.132615,0,0
1,1,0.807830,5,1
4,1,0.796434,3,3
7,1,0.787887,7,7
11,1,0.773642,17,17
13,1,0.776491,11,11
14,1,0.779340,9,9
16,1,0.773642,19,21
17,1,0.773642,5,1
18,1,0.773642,13,13
21,1,0.776491,9,11
26,1,0.767944,32,21
27,1,0.765095,32,21
29,1,0.767944,24,24
2,2,0.807830,0,0
3,2,0.807830,1,1
4,2,0.802132,14,7
6,2,0.796434,29,4
7,2,0.796434,4,17
8,2,0.796434,4,4
13,2,0.790736,11,7
16,2,0.793585,1,4
19,2,0.776491,11,26
23,2,0.776491,13,21
24,2,0.779340,14,14
28,2,0.773642,16,18
33,2,0.773642,16,18
38,2,0.770793,14,27
43,2,0.767944,29,29
3,3,0.816377,19,2
4,3,0.807830,3,3
5,3,0.807830,3,3
8,3,0.802132,23,4
9,3,0.802132,24,4
10,3,0.796434,33,7
11,3,0.796434,6,8
12,3,0.796434,6,6
15,3,0.796434,38,7
17,3,0.796434,7,7
20,3,0.796434,8,8
23,3,0.796434,8,8
25,3,0.790736,13,13
27,3,0.790736,28,13
28,3,0.796434,43,16
31,3,0.782189,43,16
43,3,0.773642,38,7
1,4,0.819558,0,0
3,4,0.816709,23,3
4,4,0.816709,12,5
5,4,0.816709,27,3
6,4,0.811011,12,5
7,4,0.808162,28,9
8,4,0.808162,17,9
9,4,0.808162,4,4
12,4,0.802464,43,8
13,4,0.802464,23,9
15,4,0.796766,25,12
16,4,0.796766,20,15
18,4,0.796766,20,23
20,4,0.796766,10,12
22,4,0.796766,10,12
23,4,0.796766,11,31
36,4,0.791068,17,9
37,4,0.791068,25,25
39,4,0.791068,25,12
42,4,0.788219,20,15
2,5,0.819558,1,1
4,5,0.816709,5,3
5,5,0.816709,36,9
6,5,0.816709,42,4
7,5,0.816709,5,5
9,5,0.811011,39,6
10,5,0.811011,6,6
13,5,0.808162,8,7
14,5,0.808162,13,42
15,5,0.808162,9,9
19,5,0.802464,13,15
20,5,0.802464,12,12
25,5,0.796766,16,16
32,5,0.796766,22,42
33,5,0.796766,23,23
36,5,0.796766,20,18
41,5,0.791068,37,37
47,5,0.788219,22,42
1,6,0.819558,19,2
4,6,0.819558,0,0
5,6,0.816709,4,4
7,6,0.816709,5,5
10,6,0.816709,6,13
12,6,0.816709,7,7
15,6,0.811011,9,25
16,6,0.811011,10,10
21,6,0.808162,32,20
22,6,0.808162,36,19
23,6,0.808162,14,41
25,6,0.808162,15,15
41,6,0.796766,33,33
51,6,0.788219,47,47
2,7,0.819558,1,16
3,7,0.819558,0,0
4,7,0.819558,12,7
5,7,0.819558,7,23
6,7,0.819558,4,4
8,7,0.819558,4,51
10,7,0.816709,12,5
23,7,0.811011,15,15
24,7,0.811011,16,16
25,7,0.811011,25,10
26,7,0.811011,21,22
42,7,0.796766,41,41
1,8,0.819889,6,10
2,8,0.819889,2,25
3,8,0.819889,0,0
4,8,0.819889,3,24
5,8,0.819889,4,4
8,8,0.819889,5,6
9,8,0.819889,5,5
12,8,0.819889,6,6
13,8,0.819889,8,8
24,8,0.817040,6,10
30,8,0.811342,23,23
32,8,0.811342,26,6
45,8,0.797097,42,42
1,9,0.819889,3,45
2,9,0.819889,12,2
3,9,0.819889,32,1
5,9,0.819889,2,2
9,9,0.819889,4,4
10,9,0.819889,30,5
11,9,0.819889,5,5
13,9,0.819889,8,8
16,9,0.819889,13,13
17,9,0.819889,9,12
19,9,0.817040,12,2
26,9,0.817040,24,24
2,10,0.819889,1,10
3,10,0.819889,10,1
4,10,0.817040,26,3
5,10,0.819889,16,3
7,10,0.819889,2,2
9,10,0.819889,13,5
10,10,0.819889,3,3
16,10,0.819889,9,9
19,10,0.819889,11,11
20,10,0.819889,1,10
24,10,0.819889,17,19
35,10,0.817040,9,19
4,11,0.819889,2,9
5,11,0.819889,3,3
8,11,0.819889,3,19
11,11,0.817040,24,4
17,11,0.819889,9,9
20,11,0.819889,10,5
29,11,0.819889,16,16
33,11,0.819889,20,7
43,11,0.817040,35,35
1,12,0.817040,0,0
4,12,0.819889,4,4
8,12,0.819889,5,5
9,12,0.819889,43,8
11,12,0.819889,29,5
15,12,0.819889,5,20
16,12,0.819889,5,8
23,12,0.817040,11,11
30,12,0.819889,17,17
43,12,0.819889,33,33
1,13,0.819889,1,8
2,13,0.817040,0,0
3,13,0.822738,23,43
4,13,0.819889,23,23
5,13,0.819889,4,4
7,13,0.819889,4,11
9,13,0.819889,4,9
14,13,0.819889,8,8
15,13,0.819889,8,8
17,13,0.819889,15,15
18,13,0.819889,16,16
24,13,0.819889,8,8
25,13,0.819889,4,9
37,13,0.819889,30,30
1,14,0.825587,4,37
2,14,0.822738,5,4
4,14,0.819889,1,1
5,14,0.817040,2,24
6,14,0.822738,3,3
9,14,0.819889,5,7
11,14,0.819889,5,5
12,14,0.819889,5,5
13,14,0.819889,9,24
14,14,0.819889,5,15
18,14,0.819889,14,14
